region,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Small states,SST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12291,20855,83365,91996,129035,126298,129396,121260,122788,278909,239219,190733,147807,111427,113023,115831,118090,121389,117023,103143,90574,74974,60264,47442,42262,40336,37445,37596,40457,39870,31556,33047
Sao Tome and Principe,STP,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,28,32,47,42,39,29,23,21,41,41,36,23,30,32,32,32,32,32,31,31,24,24,31,31,31,28,28,6
Suriname,SUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6601,6620,5921,2545,894,915,817,754,663,491,413,334,239,101,67,47,26,65,62,50,44,24,22,14,17,17,19,16,17,22,17,17,22
Slovak Republic,SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,24,57,69,143,178,216,189,596,668,618,787,741,346,333,336,157,271,231,321,316,325,792,913,1218,1343,1368,1426
Slovenia,SVN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28429,14829,12858,3369,3414,3299,3293,3278,762,853,608,580,154,1757,47,49,35,35,30,32,27,25,21,20,17,19,19,17,17
Sweden,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,25,37,39,39,30,17,5,27,35,30,75,16,17,16,15,23,23,21,18,18,18,13,14,16,13,8,9
Eswatini,SWZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,15,16,17,29,27,16,15,20,,6,12,16,21,28,28,32,39,59,103,151,213,224,231,237,224,198,165
Sint Maarten (Dutch part),SXM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,49,58,67,52,27,553,339,138,32,38,30,25,14,43,37,47,39,61,54,51,47,47,39,30,24,23,19,10,10,15,15,10,14
Syrian Arab Republic,SYR,,,,,,,,,1200,1200,,,,,,,,,,500,500,505,505,526,529,2599,534,20,881,397,2148,3037,4408,5412,7087,7995,8611,8653,8132,6693,5868,4861,18908,20816,21430,16395,12327,13684,15206,17915,18451,19931,729011,2468323,3887490,4873236,5524511,6310498,6654374,6615249,6702910,6848845
Turks and Caicos Islands,TCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,15,15,14,14,14,14,14,14,14
Chad,TCD,,,,,,,,,,,1900,1400,1500,1500,,,,,,10000,221000,234260,17010,16745,181346,212158,170078,146858,130790,125863,184804,72317,66378,212923,211968,59726,58443,55026,61294,58792,54955,46282,47340,52268,52645,48389,36286,55697,55083,54997,53713,42619,39674,48618,48236,14921,14176,16325,10895,11163,10388,11771
East Asia & Pacific (IDA & IBRD countries),TEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694674,712093,976752,1013117,930482,932852,891019,870773,839439,926512,849390,792335,784504,707521,710733,727469,804506,723958,740044,975707,986211,987811,988849,1029981,1042981,1016738,1064727,1734928,1727836,1642065,1631985,1703185
Europe & Central Asia (IDA & IBRD countries),TEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205647,262949,1522061,1739578,1849552,1876761,2416511,2290812,2038056,1872761,1497485,1396200,1813828,1619718,1453159,1180782,1153051,788682,808216,733517,703510,665883,648398,335903,543371,599922,501186,400446,361916,344746,406971,374737
Togo,TGO,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,17,105,291055,167866,93152,25587,7182,3500,3695,4022,4356,10441,10609,10818,51092,27318,22481,16734,18363,18308,17853,15683,10301,9271,8774,8296,8115,8029,8034,7704,7985
Thailand,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,29,33,33,135,209,282,268,290,315,213,90,342,295,320,424,3323,2322,1811,498,351,365,378,220,223,209,147,164,183,173,174,181
Tajikistan,TJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60008,70108,57143,58960,107508,75880,56350,45166,59937,56107,63264,58935,56776,54753,646,887,541,556,573,604,669,657,722,790,932,1369,1695,1987,2219,2412
Turkmenistan,TKM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,45,2936,3179,1562,1051,299,305,797,836,815,818,689,667,735,734,723,711,708,502,470,446,371,365,457,478,498,563
Latin America & the Caribbean (IDA & IBRD countries),TLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157226,156992,151039,134118,144787,130829,124039,115643,102409,88267,63281,66170,76972,74966,80253,98594,130106,617315,438876,455147,463105,475911,483211,488713,454856,440858,414232,311092,284896,432300,528620,516939
Timor-Leste,TLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162472,122202,73042,28097,127,221,251,251,6,7,7,8,8,8,8,13,19,19,13,12,17,11,11
Middle East & North Africa (IDA & IBRD countries),TMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1219602,1465056,1488640,904090,934814,875195,862731,837200,798995,761758,649608,655487,633214,562900,493124,425952,1606435,2434311,2028766,1918654,1811850,1563387,1597034,2975830,4375712,5276211,5997426,6866656,7246723,7182022,7268711,7445168
Tonga,TON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,5,,7,11,5,,5,,5,5,5,7,11,16,19,22,25,34,32,32,31,28
South Asia (IDA & IBRD),TSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6548525,6526696,4811740,3611811,3012788,2958738,2963681,2966979,2909056,2848512,3847588,4072751,2800274,2406909,2680194,2436365,2386422,3369109,3142062,3192058,3344515,2928092,2842239,2788669,3107703,3134442,2765647,2909950,2973842,3024300,2916419,3047495
Sub-Saharan Africa (IDA & IBRD countries),TSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5746950,5169327,5426075,6326072,6728304,5624705,4354674,3541362,3413954,3618130,3769036,3464539,3525137,3312270,3221624,3096093,3039568,2747812,2627778,2665834,2810109,3371568,3535044,3702387,4479221,5233445,6007866,7214009,7241640,7290866,7417832,7822165
Trinidad and Tobago,TTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,17,20,25,24,24,16,35,39,38,61,151,210,228,239,252,296,335,336,371,369,295,310,323,307,295,285
Tunisia,TUN,,,,,,,,,,,,,,,,,,,,,,,,5,6,6,6,6,7,7,40,61,88,106,208,327,410,703,931,1236,1205,1364,2543,2562,2511,3120,2835,2488,2334,2237,2159,1930,1918,1359,1476,1554,1687,1826,1985,2068,1636,2201
Turkiye,TUR,,,,,,,,,,,,,250,,,,,70,60,60,,,300,540,1040,810,850,1085,150,2764,5508,6452,10089,16767,28872,44866,50355,47339,45019,44012,47154,47085,193697,185086,174572,170557,227236,221937,214365,146378,146785,139763,135353,66558,63882,59545,57915,61383,68900,83239,93730,105019
Tuvalu,TUV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,,5,,,,,,,,,,,,,,,
Tanzania,TZA,,,,,,,,,,,,,,,320,,90,300,300,600,300,3000,500,500,500,,,2000,5,10,10,13,19,32,62,69,66,59,100,117,310,369,578,703,982,1542,1665,1250,1262,1191,1135,1154,1109,1033,843,810,579,655,723,695,689,752
Uganda,UGA,,,,,,,,,,,,,,950,2630,2510,3250,8000,8820,88710,224301,176691,271285,315346,293991,306060,238652,111071,21975,21358,58820,39386,32456,33406,31446,24161,28335,55232,13294,13929,32405,40133,40414,35240,31955,34208,21735,21325,7533,7543,6421,5658,5588,8166,7177,6311,6229,6409,7034,7301,7442,7886
Ukraine,UKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,133,917,1702,6106,6348,4599,12235,19310,26712,85258,94141,89582,84223,63716,25980,28416,24512,25102,25372,25248,5154,237617,321399,239062,139581,93248,59844,35156,27562
Upper middle income,UMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1349187,1628033,2770031,2450449,2576023,2437334,2780936,2647579,2425450,2227129,1773270,1727178,1989501,1780587,1594575,1367795,2693395,3700647,3163355,3013368,2900090,2615994,1921393,1307701,1243789,1104164,1114665,1049257,1026825,1066661,1120466,1041491
Uruguay,URY,,,,,,,,,,,,,,,3000,570,1160,,,,24,24,525,25,165,537,47,39,33,203,843,601,431,164,363,263,202,87,72,36,48,45,60,59,76,107,158,193,194,183,185,183,168,144,119,84,23,12,7,15,15,45
United States,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,10,364,243,141,75,50,38,173,220,383,394,451,676,1353,2164,2126,2367,3019,3775,4454,4755,4980,4824,302,310,332,297,349,426
Uzbekistan,UZB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29060,142,69745,69068,51722,45527,3628,3454,6882,7394,7292,8322,9095,5658,6297,6662,8841,12667,11593,4953,4790,4197,3824,3405,3276,3217,3112,3014
St. Vincent and the Grenadines,VCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,13,13,24,36,48,67,81,105,181,279,386,644,748,847,946,1126,1315,1535,1736,1823,1335,1311,1258,979,742,467
"Venezuela, RB",VEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,135,370,478,558,606,568,554,469,464,525,598,1251,2581,3821,5089,5801,6216,6697,7575,8204,8396,8009,7455,7543,9272,21047,93239,171112,199202
British Virgin Islands,VGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,VNM,,,,,10000,15000,17000,20000,22000,22000,20000,,,,,2110,4000,14380,124210,397290,346928,312548,325343,328399,328095,326617,326668,325717,440379,456936,496029,498323,517111,527625,539095,543536,518335,476795,435437,405378,370753,353211,373732,363170,349793,358268,374278,327770,328175,339299,338707,337828,336936,314109,313420,313152,329341,334064,334464,316441,316728,317737
Vanuatu,VUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,WLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19850545,19429141,20545162,19238525,18846657,18141960,16725191,15484076,15053820,15364642,15935134,16043088,14619220,13728696,13805229,13011239,14325308,15952902,15160726,15162383,15239914,15201660,15416934,16728282,19534031,21351533,22524729,25383513,25905093,26044498,26365367,27119816
Samoa,WSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,5
Kosovo,XKX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",YEM,,,,,,,,,,,,,,,,,,,15000,15000,15000,,,,,,100000,70000,77000,77000,5,74,31,37,151,366,1154,1721,1928,2021,2104,1976,1595,1588,1599,1322,1364,1621,1764,1927,2070,2321,2582,2413,2623,15901,18427,23555,31145,36522,32433,37611
South Africa,ZAF,,,,,,,390,450,740,290,460,850,790,940,1380,1360,2180,2395,3840,7280,24250,24900,28430,34520,38560,38110,33220,26150,24906,17135,14781,11205,9241,9087,1514,492,286,241,184,190,168,131,271,284,261,259,501,474,449,380,374,422,413,424,422,447,452,461,482,441,474,643
Zambia,ZMB,,,,,,,,,15000,13000,9000,750,750,750,4000,750,750,,,1000,1210,1200,1200,1200,,,,,,,,,1990,1573,15,22,39,62,75,86,91,55,84,95,119,146,199,192,191,201,221,234,240,230,309,334,256,260,266,259,252,255
Zimbabwe,ZWE,,,,,,,,,,,,,,,,14720,31220,76520,163160,197640,160,190,,3200,3760,4250,3230,3830,629,5,5,128,8,14,38,37,36,37,40,40,109,257,4024,7154,9557,11246,12774,14366,16824,22441,24080,25033,22082,19719,22478,21332,18141,17420,15618,10045,8575,8115
